"item","openLibraryID","publicationDate"
"Q7284589","OL5720758W","2001-10-01T00:00:00Z"
"Q7284648","OL5720759W","2003-11-01T00:00:00Z"
"Q7284672","OL10587696W","1999-01-01T00:00:00Z"
"Q7284700","OL5720756W","2005-10-01T00:00:00Z"
"Q7285155","OL13804886W","2009-01-01T00:00:00Z"
"Q7285157","OL17079157W","2013-11-07T00:00:00Z"
"Q7285379","OL308958W","1910-01-01T00:00:00Z"
"Q728622","OL53168W","1993-01-01T00:00:00Z"
"Q7286542","OL2389969W","1977-01-01T00:00:00Z"
"Q7289899","OL151970W","1999-01-01T00:00:00Z"
"Q7289937","OL151989W","1977-01-01T00:00:00Z"
"Q729000","OL876514W","1991-01-01T00:00:00Z"
"Q7291915","OL12018329W","2007-01-01T00:00:00Z"
"Q7291925","OL2753431W","1993-01-01T00:00:00Z"
"Q7291925","OL2753431W","1994-09-01T00:00:00Z"
"Q729200","OL18059710W","2009-04-28T00:00:00Z"
"Q7293351","OL1000223W","1986-05-01T00:00:00Z"
"Q7293467","OL78246W","2009-01-01T00:00:00Z"
"Q7293468","OL19755W","2004-02-01T00:00:00Z"
"Q7293909","OL3791314W","1959-01-01T00:00:00Z"
"Q7294390","OL3243554W","1996-09-03T00:00:00Z"
"Q7294401","OL3354586W","1997-01-01T00:00:00Z"
"Q7295581","OL3500090W","1994-01-01T00:00:00Z"
"Q7295584","OL3500091W","1990-01-01T00:00:00Z"
"Q7295806","OL11376587W","1988-04-05T00:00:00Z"
"Q7296256","OL2389970W","1979-01-01T00:00:00Z"
"Q7296389","OL6445398W","1982-10-01T00:00:00Z"
"Q7296891","OL15376353W","2003-01-01T00:00:00Z"
"Q729783","OL15105193W","2005-01-01T00:00:00Z"
"Q72980978","OL15964457W","1966-01-01T00:00:00Z"
"Q7300524","OL92836W","2006-01-01T00:00:00Z"
"Q7300531","OL74652W","1975-01-01T00:00:00Z"
"Q7300697","OL492867W","2005-01-01T00:00:00Z"
"Q7300891","OL867371W","2008-01-01T00:00:00Z"
"Q730105","OL52201W","1895-01-01T00:00:00Z"
"Q7301267","OL18177363W","1996-01-01T00:00:00Z"
"Q7301391","OL16099614W","2011-09-20T00:00:00Z"
"Q7301421","OL14924471W","1998-01-01T00:00:00Z"
"Q7301483","OL98204W","1941-01-01T00:00:00Z"
"Q7301985","OL3468652W","1903-01-01T00:00:00Z"
"Q7302023","OL16522793W","1996-01-01T00:00:00Z"
"Q7302115","OL14920939W","2009-09-01T00:00:00Z"
"Q7302116","OL27121W","1983-06-21T00:00:00Z"
"Q7302179","OL108163W","1990-03-01T00:00:00Z"
"Q7302391","OL2385428W","1994-01-01T00:00:00Z"
"Q7302453","OL8826588W","2004-12-01T00:00:00Z"
"Q7302516","OL15177926W","2010-01-01T00:00:00Z"
"Q7302524","OL5712548W","2006-01-01T00:00:00Z"
"Q7302565","OL2588972W","2007-05-15T00:00:00Z"
"Q7302977","OL15839406W","1991-01-01T00:00:00Z"
"Q7303010","OL17694133W","1995-06-01T00:00:00Z"
"Q7303881","OL2463551W","1996-01-01T00:00:00Z"
"Q7304047","OL1912222W","2001-09-01T00:00:00Z"
"Q7304073","OL2421542W","2000-01-01T00:00:00Z"
"Q7304419","OL3232098W","2004-01-01T00:00:00Z"
"Q7304595","OL1839863W","2002-01-01T00:00:00Z"
"Q7304772","OL16298896W","2012-10-09T00:00:00Z"
"Q7305024","OL1940358W","1973-09-17T00:00:00Z"
"Q7305089","OL874070W","1992-01-01T00:00:00Z"
"Q7305126","OL56150W","1939-01-01T00:00:00Z"
"Q7305141","OL15052063W","1987-01-01T00:00:00Z"
"Q7305278","OL15010885W","1983-01-01T00:00:00Z"
"Q7305530","OL3557255W","2006-07-01T00:00:00Z"
"Q7305967","OL17732799W","2009-11-24T00:00:00Z"
"Q7306263","OL16564627W","2012-06-05T00:00:00Z"
"Q7306818","OL5801797W","2004-04-01T00:00:00Z"
"Q7307621","OL3746241W","1991-01-01T00:00:00Z"
"Q7307965","OL496469W","2003-01-01T00:00:00Z"
"Q7307968","OL15150601W","1981-01-01T00:00:00Z"
"Q7308057","OL15343746W","2009-01-01T00:00:00Z"
"Q7308413","OL4614774W","2007-09-01T00:00:00Z"
"Q7310269","OL998701W","2008-01-01T00:00:00Z"
"Q7310957","OL6032620W","2006-01-01T00:00:00Z"
"Q7311121","OL3789573W","1986-06-01T00:00:00Z"
"Q7311906","OL15856550W","1923-01-01T00:00:00Z"
"Q7311931","OL6037022W","2008-01-01T00:00:00Z"
"Q7313592","OL15052065W","1991-01-01T00:00:00Z"
"Q7315287","OL14913419W","2007-10-01T00:00:00Z"
"Q7315596","OL15393414W","2007-01-01T00:00:00Z"
"Q7316202","OL16619609W","2012-02-07T00:00:00Z"
"Q731626","OL472897W","1975-01-01T00:00:00Z"
"Q7316495","OL1000410W","2000-01-01T00:00:00Z"
"Q7316533","OL2009169W","1999-01-01T00:00:00Z"
"Q7316544","OL15150733W","2002-01-01T00:00:00Z"
"Q7316544","OL483836W","2002-01-01T00:00:00Z"
"Q7316700","OL67854W","2009-01-01T00:00:00Z"
"Q7317209","OL17740450W","2008-01-01T00:00:00Z"
"Q7317276","OL2756344W","1998-12-01T00:00:00Z"
"Q7317306","OL15810W","1999-06-08T00:00:00Z"
"Q7317321","OL11984W","1959-01-01T00:00:00Z"
"Q7317807","OL5813985W","2008-02-26T00:00:00Z"
"Q7317882","OL15870369W","2001-01-01T00:00:00Z"
"Q7317931","OL29655W","1971-10-01T00:00:00Z"
"Q7318552","OL7916600W","1994-01-01T00:00:00Z"
"Q7318655","OL15615971W","2010-01-01T00:00:00Z"
"Q7318709","OL3188281W","1994-12-01T00:00:00Z"
"Q7318868","OL3110334W","1973-01-01T00:00:00Z"
"Q7318880","OL8214412W","2000-01-01T00:00:00Z"
"Q7319037","OL20161W","1910-01-01T00:00:00Z"
"Q7319109","OL1888390W","1995-01-01T00:00:00Z"
"Q732060","OL46884W","1999-01-01T00:00:00Z"
"Q7323334","OL1761116W","1985-01-01T00:00:00Z"
"Q732360","OL461993W","1902-01-01T00:00:00Z"
"Q732360","OL462133W","1902-01-01T00:00:00Z"
"Q732360","OL461993W","1902-11-01T00:00:00Z"
"Q732360","OL462133W","1902-11-01T00:00:00Z"
"Q7329422","OL14871056W","1962-01-01T00:00:00Z"
"Q7330128","OL15616575W","2010-09-07T00:00:00Z"
"Q7332458","OL74293W","1980-01-01T00:00:00Z"
"Q7332458","OL74293W","1980-10-16T00:00:00Z"
"Q7332623","OL2988553W","1961-01-01T00:00:00Z"
"Q7332959","OL3285134W","2006-01-01T00:00:00Z"
"Q7332983","OL111677W","1995-01-01T00:00:00Z"
"Q7333527","OL1337129W","1934-10-05T00:00:00Z"
"Q7333586","OL1805257W","1982-01-01T00:00:00Z"
"Q7333594","OL23551W","2001-02-01T00:00:00Z"
"Q7333623","OL2156839W","1608-01-01T00:00:00Z"
"Q7334318","OL16632W","1994-01-01T00:00:00Z"
"Q7334502","OL60599W","1989-06-01T00:00:00Z"
"Q7334688","OL72855W","1994-07-04T00:00:00Z"
"Q7334795","OL16997480W","2008-01-01T00:00:00Z"
"Q7335058","OL262376W","1916-01-01T00:00:00Z"
"Q7335465","OL14937818W","1971-01-01T00:00:00Z"
"Q7335516","OL1860740W","2005-04-01T00:00:00Z"
"Q7335689","OL17742896W","2009-05-19T00:00:00Z"
"Q7335929","OL2625993W","1996-01-01T00:00:00Z"
"Q7335947","OL41093W","2005-05-01T00:00:00Z"
"Q7335972","OL3907730W","1994-01-01T00:00:00Z"
"Q7335979","OL83892W","2001-01-01T00:00:00Z"
"Q7336180","OL16550623W","2003-10-13T00:00:00Z"
"Q7336185","OL15538406W","2011-02-01T00:00:00Z"
"Q7336189","OL506898W","2003-11-01T00:00:00Z"
"Q7336980","OL2519848W","1988-01-01T00:00:00Z"
"Q7337178","OL15429632W","1997-01-01T00:00:00Z"
"Q7337791","OL5738587W","2006-09-05T00:00:00Z"
"Q7338029","OL16445621W","2002-01-01T00:00:00Z"
"Q7338345","OL2113809W","1993-01-01T00:00:00Z"
"Q73388892","OL15993914W","2011-03-01T00:00:00Z"
"Q7339610","OL13978W","1979-10-01T00:00:00Z"
"Q7339627","OL6060795W","1948-01-01T00:00:00Z"
"Q7339661","OL643731W","1992-01-01T00:00:00Z"
"Q734493","OL64225W","1954-01-01T00:00:00Z"
"Q734493","OL64225W","1954-08-07T00:00:00Z"
"Q734607","OL14877868W","1891-01-01T00:00:00Z"
"Q734757","OL77782W","1921-01-01T00:00:00Z"
