item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q77168,Q77168-37C631A8-7BE2-414A-A806-585C1BEE1EFB,P569,1971-05-01T00:00:00Z,Q1985727,1979,https://ratings.fide.com/profile/1004816,statement
Q103301,Q103301-1342BD85-9F9B-4795-B4D3-D5E9BEFE1B23,P569,1943-04-17T00:00:00Z,Q1985727,1945,https://ratings.fide.com/profile/4600185,statement
Q278844,Q278844-13624996-30D9-43C7-80D7-98294FB512D3,P569,1949-08-24T00:00:00Z,Q1985727,1946,https://ratings.fide.com/profile/900095,statement
Q326562,Q326562-16F44782-9AD3-4774-8E60-97C8B6F84F7F,P569,1942-01-01T00:00:00Z,Q1985727,1943,https://ratings.fide.com/profile/800139,statement
Q446773,Q446773-34830D20-DCDE-45D6-B865-38E55604179B,P569,1976-12-05T00:00:00Z,Q1985727,2008,https://ratings.fide.com/profile/15201759,statement
Q4685766,Q4685766-24638120-302F-4A96-8632-06A9AEF49B3A,P569,1886-05-04T00:00:00Z,Q1985727,1985,https://ratings.fide.com/profile/113123,statement
Q6437641,Q6437641-75D51FDA-BC50-4957-90BE-FD5D03259788,P569,1974-01-01T00:00:00Z,Q1985727,1975,https://ratings.fide.com/profile/19700156,statement
Q6939795,Q6939795-318EF8E7-C0D4-453F-99A6-F8AD68B2A155,P569,1989-12-11T00:00:00Z,Q1985727,1988,https://ratings.fide.com/profile/409456,statement
Q27525199,Q27525199-90256872-4536-661a-297f-fb204b04c499,P569,1965-03-09T00:00:00Z,Q1985727,1962,https://ratings.fide.com/profile/5100330,statement
Q1027982,Q1027982-EE1961A5-B16C-4482-A072-22723C35D847,P569,1985-01-22T00:00:00Z,Q1985727,1968,https://ratings.fide.com/profile/14900645,statement
Q27523555,Q27523555-1AFD7F72-E4A7-4F29-81DF-9A57A8683A8D,P569,1962-05-11T00:00:00Z,Q1985727,1969,https://ratings.fide.com/profile/4605330,statement
Q8062264,Q8062264-0570445C-FAB7-4676-8AFB-C79535EED6FC,P569,1990-07-23T00:00:00Z,Q1985727,1991,https://ratings.fide.com/profile/5022215,statement
Q16655210,Q16655210-3f692d87-4c87-6725-695a-afb52faee659,P569,1971-11-25T00:00:00Z,Q1985727,1972,https://ratings.fide.com/profile/13700545,statement
Q16945021,Q16945021-CD8305B6-9A4D-425A-8052-B1DDD3C85DCE,P569,1955-05-26T00:00:00Z,Q1985727,1985,https://ratings.fide.com/profile/812587,statement
Q11728960,Q11728960-6F5E76FA-051B-4A4C-B405-C8DF3BC6A076,P569,1946-03-10T00:00:00Z,Q1985727,1944,https://ratings.fide.com/profile/602019,statement
Q4070079,Q4070079-548B5FE5-2C1D-4750-8B60-A324371F96F3,P569,1944-02-07T00:00:00Z,Q1985727,1998,https://ratings.fide.com/profile/34137073,statement
Q1887363,Q1887363-41A3C4A4-B1E6-411D-AA9B-E16F1D8BDCC2,P569,1969-01-29T00:00:00Z,Q1985727,1960,https://ratings.fide.com/profile/617709,statement
Q1657668,Q1657668-EB12A11F-E30B-43E3-BE5A-45DA9E5A2258,P569,1938-05-27T00:00:00Z,Q1985727,1937,https://ratings.fide.com/profile/4103017,statement
Q1831756,Q1831756-C2338FB9-7968-43F4-BF6B-4C87BE436500,P569,1967-03-12T00:00:00Z,Q1985727,1969,https://ratings.fide.com/profile/2500124,statement
Q4337114,Q4337114-D50566F2-4EED-4909-998D-C82725873190,P569,1980-03-30T00:00:00Z,Q1985727,1985,https://ratings.fide.com/profile/3507165,statement
Q4363644,Q4363644-B40B42BD-F8C4-4491-BA18-7EAE26260F9B,P569,1961-10-12T00:00:00Z,Q1985727,1964,https://ratings.fide.com/profile/4101731,statement
Q16111802,Q16111802-914701fd-4049-cd5d-5895-6e48a2a34b5e,P569,1952-12-29T00:00:00Z,Q1985727,1962,https://ratings.fide.com/profile/14508478,statement
Q16214885,Q16214885-8BD56C63-2012-4422-9884-D8E0D8EB03FD,P569,1974-05-14T00:00:00Z,Q1985727,1975,https://ratings.fide.com/profile/13300318,statement
Q16225615,Q16225615-33535AB2-02AD-4A7D-88AE-1AFF61CB80CE,P569,2005-12-12T00:00:00Z,Q1985727,2006,https://ratings.fide.com/profile/5216184,statement
Q16541128,Q16541128-BFB14768-AC95-4FD9-881B-71914837D05C,P569,1952-04-06T00:00:00Z,Q1985727,1953,https://ratings.fide.com/profile/408786,statement
Q27524031,Q27524031-E6D6B0A7-1A11-44A4-A7D0-EEA3D71737D9,P569,1967-06-14T00:00:00Z,Q1985727,1978,https://ratings.fide.com/profile/2211106,statement
Q14918476,Q14918476-1D51DD92-FFA2-4C11-A14B-09B5ABF6BF35,P569,1954-05-06T00:00:00Z,Q1985727,1953,https://ratings.fide.com/profile/5900026,statement
