item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q329124,Q329124$0FA35D92-7A8A-4750-B60A-7BF616E3A5EC,P569,+1925-01-01T00:00:00Z,,+1926-07-04T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/4108,statement
Q5481259,Q5481259$7969BFE7-1A7A-455B-A492-E8BE6845788C,P569,+1938-07-14T00:00:00Z,,+1935-07-13T00:00:00Z,https://www.csfd.cz/tvurce/136788/,statement
Q2366762,Q2366762$C0AE8D9C-7CB8-4572-9B25-8038C80F136F,P569,+1915-11-12T00:00:00Z,,+1912-11-12T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/478040,statement
Q84570338,Q84570338$b4fa2be7-446a-267c-1868-b15077c33403,P569,+1864-00-00T00:00:00Z,,+1867-05-17T00:00:00Z,https://www.mymovies.it/persone/-/355323,statement
Q1278135,Q1278135$E30B23DF-6D09-4495-8907-02CFE55FCC29,P569,+1974-07-22T00:00:00Z,,+1973-07-22T00:00:00Z,https://pantheon.world/profile/person/Jaime_Camil,statement
Q531336,Q531336$FAC111E2-9DAA-4A9B-B4F7-C74C1FD22F3D,P569,+1905-09-17T00:00:00Z,,+1907-09-17T00:00:00Z,http://evene.lefigaro.fr/celebre/biographie/helen-vinson-37814.php,statement
Q4994464,Q4994464$BD4F6D17-B6F9-4B77-B6E4-28A6D0158439,P570,+1947-10-27T00:00:00Z,,+1949-10-24T00:00:00Z,https://www.oxfordreference.com/view/10.1093/oi/authority.20110803095812414,statement
Q2557512,Q2557512$ACAA5603-84EE-4054-8C3A-74E903341DFC,P569,+1912-03-28T00:00:00Z,,+1914-03-28T00:00:00Z,https://www.fandango.com/people/wd-406906,statement
Q111804368,Q111804368$6156baab-4343-55fc-a138-8c24c3da11a7,P569,+1943-12-26T00:00:00Z,,+1950-12-26T00:00:00Z,https://www.csfd.cz/tvurce/102111/,statement
Q87034,Q87034$52294935-7B2A-48ED-9027-F6B75F6FEB37,P569,+1877-08-16T00:00:00Z,,+1876-08-16T00:00:00Z,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=xx0006518&CON_LNG=ENG,statement
Q15268944,Q15268944$77C157DB-F464-4DD7-9C71-EAF5F455D082,P569,+1853-03-14T00:00:00Z,,+1855-03-17T00:00:00Z,http://www.oxfordartonline.com/benezit/view/10.1093/benz/9780199773787.001.0001/acref-9780199773787-e-00125395,statement
Q580587,q580587$79C91BCC-28FC-438C-B174-F77D3F69DFE0,P569,+1928-07-02T00:00:00Z,,+1927-07-02T00:00:00Z,https://www.mymovies.it/persone/-/6077,statement
Q104109,q104109$48BC9CC6-1576-48CD-BA65-82BA6AF5CB78,P569,+1892-04-08T00:00:00Z,,+1893-04-09T00:00:00Z,https://en.geneastar.org/genealogie/?refcelebrite=pickfordm,statement
Q120225,q120225$099A9C36-EEE2-4F9F-9628-D8A5833DB86A,P569,+1943-12-17T00:00:00Z,,+1945-12-17T00:00:00Z,https://www.fandango.com/people/wd-106993,statement
Q102434107,Q102434107$2b5e33f3-fd74-4e53-bd50-20ed98c7c7d8,P569,+1896-04-15T00:00:00Z,,+1900-04-15T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/40985,statement
Q236236,q236236$0F882D7D-DB93-447E-829D-A4A8154A7731,P569,+1728-11-10T00:00:00Z,,+1730-11-10T00:00:00Z,https://www.britannica.com/biography/Oliver-Goldsmith-Anglo-Irish-author,statement
Q228906,q228906$CB11FC36-CA8B-4BF0-AFB0-D6A191B0478E,P570,+1986-12-12T00:00:00Z,,+1985-12-12T00:00:00Z,https://www.mymovies.it/persone/-/1332,statement
Q739325,Q739325$54CF6581-B432-4FAA-82A0-98E80F754B9F,P569,+1921-07-20T00:00:00Z,,+1919-07-21T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/99359,statement
Q6774620,Q6774620$01B947A5-76A1-4A8E-84A8-D7A0EE826237,P569,+1926-03-23T00:00:00Z,,+1923-03-23T00:00:00Z,https://historygreatest.com/martha-wright-american-actress-died-at-92,statement
Q8704,q8704$990747F7-3698-47C6-9B34-553BE320B01B,P569,+1956-06-21T00:00:00Z,,+1901-12-05T00:00:00Z,http://www.oxfordartonline.com/benezit/view/10.1093/benz/9780199773787.001.0001/acref-9780199773787-e-00051878,statement
Q6700006,Q6700006$5B80DB26-89CA-4AEE-8E6C-D836FE8E6769,P569,+1921-12-21T00:00:00Z,,+1920-12-21T00:00:00Z,http://snaccooperative.org/ark:/99166/w6544b29,statement
Q6177986,Q6177986$2A813469-FE6C-40C5-A1B9-7E4BF9B45F3B,P569,+1896-01-01T00:00:00Z,,+1895-05-08T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb16172744n,statement
